视频标题,视频ID,keyword,video_href,video_list_urls,author,date
"突然宣布!反垄断第四枪,美团,阿里,腾讯全被罚!他们的产品打工人都在用",BV1JU4y137kJ,阿里被罚,https://www.bilibili.com/video/BV1JU4y137kJ/,https://search.bilibili.com/all?keyword=阿里被罚,互联网热点,2021-7-8
滥用市场支配行为，阿里巴巴集团被罚182.28亿元,BV1DB4y1w72x,阿里被罚,https://www.bilibili.com/video/BV1DB4y1w72x/,https://search.bilibili.com/all?keyword=阿里被罚,央视频,2021-4-10
蚂蚁被罚，阿里暴涨,BV1bW4y1f7AP,阿里被罚,https://www.bilibili.com/video/BV1bW4y1f7AP/,https://search.bilibili.com/all?keyword=阿里被罚,sunriches-,2023-7-9
【照理说事】阿里腾讯同被罚，金额超100亿，具体罚了什么？他们有何错？,BV1FP411y7ow,阿里被罚,https://www.bilibili.com/video/BV1FP411y7ow/,https://search.bilibili.com/all?keyword=阿里被罚,照理说事,2023-7-9
蚂蚁集团被罚71.23亿，为什么马云还那么开心,BV1ZF411X7VU,阿里被罚,https://www.bilibili.com/video/BV1ZF411X7VU/,https://search.bilibili.com/all?keyword=阿里被罚,企业新思维,2023-7-10
【远东】阿里被罚 182 亿：揭秘各国政府与垄断企业的百年博弈,BV1b64y1m7et,阿里被罚,https://www.bilibili.com/video/BV1b64y1m7et/,https://search.bilibili.com/all?keyword=阿里被罚,阿秀有新番,2021-4-23
马总去哪了？三年被罚251亿！一文看懂蚂蚁集团被罚71亿原因,BV1f8411S754,阿里被罚,https://www.bilibili.com/video/BV1f8411S754/,https://search.bilibili.com/all?keyword=阿里被罚,记哥说事,2023-7-8
阿里被罚 马云乐了,BV1zP411C7ie,阿里被罚,https://www.bilibili.com/video/BV1zP411C7ie/,https://search.bilibili.com/all?keyword=阿里被罚,李方老师,2023-7-9
阿里被罚71.23亿，背后到底发生了什么？,BV1ph4y1E7ik,阿里被罚,https://www.bilibili.com/video/BV1ph4y1E7ik/,https://search.bilibili.com/all?keyword=阿里被罚,李铁锹Qiao,2023-7-8
蚂蚁集团被罚71亿，为什么阿里的股票却涨了？,BV1th4y1j7Qv,阿里被罚,https://www.bilibili.com/video/BV1th4y1j7Qv/,https://search.bilibili.com/all?keyword=阿里被罚,华人志的无忧君,2023-7-11
被罚182亿！为什么“二选一”垄断这件事，阿里做错了？,BV1tp4y1t7HQ,阿里被罚,https://www.bilibili.com/video/BV1tp4y1t7HQ/,https://search.bilibili.com/all?keyword=阿里被罚,举一聊三,2021-4-10
福报来了！阿里集团被重罚182亿人民币、看中美对于垄断资本的不同态度,BV1RK4y1m7ZM,阿里被罚,https://www.bilibili.com/video/BV1RK4y1m7ZM/,https://search.bilibili.com/all?keyword=阿里被罚,磊哥聊政经,2021-4-12
阿里腾讯被罚百亿 整顿风暴又要来了,BV1a94y1i7Fj,阿里被罚,https://www.bilibili.com/video/BV1a94y1i7Fj/,https://search.bilibili.com/all?keyword=阿里被罚,许琼娜观点,2023-7-16
阿里巴巴被罚182亿后马云“首次现身”！,BV1TP411P7tC,阿里被罚,https://www.bilibili.com/video/BV1TP411P7tC/,https://search.bilibili.com/all?keyword=阿里被罚,成长思维社,2022-10-31
